0.0000e+00	-1.8500e-10
2.0000e+01	2.7300e-09
4.0000e+01	4.3400e-09
6.0000e+01	5.7000e-09
8.0000e+01	6.3400e-09
1.0000e+02	6.8200e-09
1.2000e+02	7.2200e-09
1.4000e+02	7.5800e-09
1.6000e+02	7.9100e-09
1.8000e+02	8.2300e-09
2.0000e+02	8.5300e-09
2.2000e+02	8.8200e-09
2.4000e+02	9.1000e-09
2.6000e+02	9.3700e-09
2.8000e+02	9.6400e-09
3.0000e+02	9.9000e-09
3.2000e+02	1.0200e-08
3.4000e+02	1.0400e-08
3.6000e+02	1.0700e-08
3.8000e+02	1.0900e-08
4.0000e+02	1.1200e-08
4.2000e+02	1.1400e-08
4.4000e+02	1.1700e-08
4.6000e+02	1.2000e-08
4.8000e+02	1.2300e-08
5.0000e+02	1.2600e-08
5.2000e+02	1.2900e-08
5.4000e+02	1.3200e-08
5.6000e+02	1.3600e-08
5.8000e+02	1.4000e-08
6.0000e+02	1.4400e-08
6.2000e+02	1.4900e-08
6.4000e+02	1.5500e-08
6.6000e+02	1.6000e-08
6.8000e+02	1.6600e-08
7.0000e+02	1.7300e-08
7.2000e+02	1.8100e-08
7.4000e+02	1.9000e-08
7.6000e+02	2.0000e-08
7.8000e+02	2.1200e-08
8.0000e+02	2.2600e-08
8.2000e+02	2.4100e-08
8.4000e+02	2.5800e-08
8.6000e+02	2.7800e-08
8.8000e+02	3.0100e-08
9.0000e+02	3.2800e-08
9.2000e+02	3.5900e-08
9.4000e+02	3.9500e-08
9.6000e+02	4.3700e-08
9.8000e+02	4.8700e-08
1.0000e+03	5.5200e-08
