# Voltage	Current
0.00000000 19820000000000001510762777510166921216.00000000
-0.76923077 19820000000000001510762777510166921216.00000000
-1.53846154 19820000000000001510762777510166921216.00000000
-2.30769231 19820000000000001510762777510166921216.00000000
-3.07692308 19820000000000001510762777510166921216.00000000
-3.84615385 19820000000000001510762777510166921216.00000000
-4.61538462 19820000000000001510762777510166921216.00000000
-5.38461538 19820000000000001510762777510166921216.00000000
-6.15384615 19820000000000001510762777510166921216.00000000
-6.92307692 19820000000000001510762777510166921216.00000000
-7.69230769 19820000000000001510762777510166921216.00000000
-8.46153846 19820000000000001510762777510166921216.00000000
-9.23076923 19820000000000001510762777510166921216.00000000
-10.00000000 19820000000000001510762777510166921216.00000000
-10.76923077 19820000000000001510762777510166921216.00000000
-11.53846154 19820000000000001510762777510166921216.00000000
-12.30769231 19820000000000001510762777510166921216.00000000
-13.07692308 19820000000000001510762777510166921216.00000000
-13.84615385 19820000000000001510762777510166921216.00000000
-14.61538462 19820000000000001510762777510166921216.00000000
-15.38461538 19820000000000001510762777510166921216.00000000
-16.15384615 19820000000000001510762777510166921216.00000000
-16.92307692 19820000000000001510762777510166921216.00000000
-17.69230769 19820000000000001510762777510166921216.00000000
-18.46153846 19820000000000001510762777510166921216.00000000
-19.23076923 19820000000000001510762777510166921216.00000000
-20.00000000 19820000000000001510762777510166921216.00000000
-20.76923077 19820000000000001510762777510166921216.00000000
-21.53846154 19820000000000001510762777510166921216.00000000
-22.30769231 19820000000000001510762777510166921216.00000000
-23.07692308 19820000000000001510762777510166921216.00000000
-23.84615385 19820000000000001510762777510166921216.00000000
-24.61538462 19820000000000001510762777510166921216.00000000
-25.38461538 19820000000000001510762777510166921216.00000000
-26.15384615 19820000000000001510762777510166921216.00000000
-26.92307692 19820000000000001510762777510166921216.00000000
-27.69230769 19820000000000001510762777510166921216.00000000
-28.46153846 19820000000000001510762777510166921216.00000000
-29.23076923 19820000000000001510762777510166921216.00000000
-30.00000000 19820000000000001510762777510166921216.00000000
-30.76923077 19820000000000001510762777510166921216.00000000
-31.53846154 19820000000000001510762777510166921216.00000000
-32.30769231 19820000000000001510762777510166921216.00000000
-33.07692308 19820000000000001510762777510166921216.00000000
-33.84615385 19820000000000001510762777510166921216.00000000
-34.61538462 19820000000000001510762777510166921216.00000000
-35.38461538 19820000000000001510762777510166921216.00000000
-36.15384615 19820000000000001510762777510166921216.00000000
-36.92307692 19820000000000001510762777510166921216.00000000
-37.69230769 19820000000000001510762777510166921216.00000000
-38.46153846 19820000000000001510762777510166921216.00000000
-39.23076923 19820000000000001510762777510166921216.00000000
-40.00000000 19820000000000001510762777510166921216.00000000
-40.76923077 19820000000000001510762777510166921216.00000000
-41.53846154 19820000000000001510762777510166921216.00000000
-42.30769231 19820000000000001510762777510166921216.00000000
-43.07692308 19820000000000001510762777510166921216.00000000
-43.84615385 19820000000000001510762777510166921216.00000000
-44.61538462 19820000000000001510762777510166921216.00000000
-45.38461538 19820000000000001510762777510166921216.00000000
-46.15384615 19820000000000001510762777510166921216.00000000
-46.92307692 19820000000000001510762777510166921216.00000000
-47.69230769 19820000000000001510762777510166921216.00000000
-48.46153846 19820000000000001510762777510166921216.00000000
-49.23076923 19820000000000001510762777510166921216.00000000
-50.00000000 19820000000000001510762777510166921216.00000000
-50.76923077 19820000000000001510762777510166921216.00000000
-51.53846154 19820000000000001510762777510166921216.00000000
-52.30769231 19820000000000001510762777510166921216.00000000
-53.07692308 19820000000000001510762777510166921216.00000000
-53.84615385 19820000000000001510762777510166921216.00000000
-54.61538462 19820000000000001510762777510166921216.00000000
-55.38461538 19820000000000001510762777510166921216.00000000
-56.15384615 19820000000000001510762777510166921216.00000000
-56.92307692 19820000000000001510762777510166921216.00000000
-57.69230769 19820000000000001510762777510166921216.00000000
-58.46153846 19820000000000001510762777510166921216.00000000
-59.23076923 19820000000000001510762777510166921216.00000000
-60.00000000 19820000000000001510762777510166921216.00000000
-60.76923077 19820000000000001510762777510166921216.00000000
-61.53846154 19820000000000001510762777510166921216.00000000
-62.30769231 19820000000000001510762777510166921216.00000000
-63.07692308 19820000000000001510762777510166921216.00000000
-63.84615385 19820000000000001510762777510166921216.00000000
-64.61538462 19820000000000001510762777510166921216.00000000
-65.38461538 19820000000000001510762777510166921216.00000000
-66.15384615 19820000000000001510762777510166921216.00000000
-66.92307692 19820000000000001510762777510166921216.00000000
-67.69230769 19820000000000001510762777510166921216.00000000
-68.46153846 19820000000000001510762777510166921216.00000000
-69.23076923 19820000000000001510762777510166921216.00000000
-70.00000000 19820000000000001510762777510166921216.00000000
-70.76923077 19820000000000001510762777510166921216.00000000
-71.53846154 19820000000000001510762777510166921216.00000000
-72.30769231 19820000000000001510762777510166921216.00000000
-73.07692308 19820000000000001510762777510166921216.00000000
-73.84615385 19820000000000001510762777510166921216.00000000
-74.61538462 19820000000000001510762777510166921216.00000000
-75.38461538 19820000000000001510762777510166921216.00000000
-76.15384615 19820000000000001510762777510166921216.00000000
-76.92307692 19820000000000001510762777510166921216.00000000
-77.69230769 19820000000000001510762777510166921216.00000000
-78.46153846 19820000000000001510762777510166921216.00000000
-79.23076923 19820000000000001510762777510166921216.00000000
-80.00000000 19820000000000001510762777510166921216.00000000
